Time [s],TX hub @ 115200,RX hub @ 115200
2.434648250,1,0
2.434726250,1,1
2.434735000,1,0
2.434752250,1,1
2.434761000,1,0
2.434787000,1,1
2.434795750,1,0
2.434813000,1,1
2.434821750,1,0
2.434899750,1,1
2.434908500,1,0
2.434986500,1,1
2.434995250,1,0
2.435073250,1,1
2.435082000,1,0
2.435090500,1,1
2.435099250,1,0
2.435108000,1,1
2.435116750,1,0
2.435160000,1,1
2.435168750,1,0
2.435194750,1,1
2.435203250,1,0
2.435246750,1,1
2.435255500,1,0
2.435333500,1,1
2.435342000,1,0
2.435420250,1,1
2.435428750,1,0
2.435506750,1,1
2.435515500,1,0
2.435593500,1,1
2.435602250,1,0
2.435619500,1,1
2.435628250,1,0
2.435645500,1,1
2.435671750,1,0
2.435680250,1,1
2.435992500,1,0
2.436001000,1,1
2.436018500,1,0
2.436027250,1,1
2.436044500,1,0
2.436061750,1,1
2.436079250,1,0
2.436087750,1,1
2.436096500,1,0
2.436157250,1,1
2.436166000,1,0
2.436244000,1,1
2.436252500,1,0
2.436330750,1,1
2.436339250,1,0
2.436365250,1,1
2.436374000,1,0
2.436382750,1,1
2.436400000,1,0
2.436417500,1,1
2.436426000,1,0
2.436434750,1,1
2.436452000,1,0
2.436486750,1,1
2.436512750,1,0
2.436590750,1,1
2.436599500,1,0
2.436677500,1,1
2.436686250,1,0
2.436695000,1,1
2.436712250,1,0
2.436729500,1,1
2.436747000,1,0
2.436764250,1,1
2.436773000,1,0
2.436781750,1,1
2.436799000,1,0
2.436833750,1,1
2.436842250,1,0
2.436851000,1,1
2.436859750,1,0
2.436877000,1,1
2.436885750,1,0
2.436911750,1,1
2.438047750,1,0
2.438056500,1,1
2.438073750,1,0
2.438082500,1,1
2.438099750,1,0
2.438117250,1,1
2.438524750,1,0
2.438542000,1,1
2.438550750,1,0
2.438602750,1,1
2.438611500,1,0
2.438689500,1,1
2.438698250,1,0
2.438776250,1,1
2.438785000,1,0
2.438819750,1,1
2.438828250,1,0
2.438845750,1,1
2.438854250,1,0
2.438863000,1,1
2.438871750,1,0
2.438880250,1,1
2.438897750,1,0
2.438932500,1,1
2.438958500,1,0
2.439036500,1,1
2.439045250,1,0
2.439123250,1,1
2.439132000,1,0
2.439166500,1,1
2.439175250,1,0
2.439192500,1,1
2.439201250,1,0
2.439210000,1,1
2.439218500,1,0
2.439227250,1,1
2.439244500,1,0
2.439279250,1,1
2.439288000,1,0
2.439296500,1,1
2.439305250,1,0
2.439322750,1,1
2.439340000,1,0
2.439357250,1,1
2.440059750,1,0
2.440068500,1,1
2.440085750,1,0
2.440094500,1,1
2.440112000,1,0
2.440129250,1,1
2.440146500,1,0
2.440155250,1,1
2.440172500,1,0
2.440224500,1,1
2.440233250,1,0
2.440311250,1,1
2.440320000,1,0
2.440398000,1,1
2.440406750,1,0
2.440432750,1,1
2.440441500,1,0
2.440450250,1,1
2.440467500,1,0
2.440484750,1,1
2.440493500,1,0
2.440502250,1,1
2.440519500,1,0
2.440554250,1,1
2.440580250,1,0
2.440658250,1,1
2.440667000,1,0
2.440745000,1,1
2.440753750,1,0
2.440762250,1,1
2.440779750,1,0
2.440797000,1,1
2.440814500,1,0
2.440831750,1,1
2.440840500,1,0
2.440849000,1,1
2.440866500,1,0
2.440901000,1,1
2.440909750,1,0
2.440918500,1,1
2.440927250,1,0
2.440979250,1,1
2.442098000,1,0
2.442106500,1,1
2.442124000,1,0
2.442141250,1,1
2.442150000,1,0
2.442167250,1,1
2.442184750,1,0
2.442210750,1,1
2.442219500,1,0
2.442262750,1,1
2.442271500,1,0
2.442297500,1,1
2.442306000,1,0
2.442332000,1,1
2.442340750,1,0
2.442349500,1,1
2.442358250,1,0
2.442366750,1,1
2.442375500,1,0
2.442384250,1,1
2.442392750,1,0
2.442418750,1,1
2.442427500,1,0
2.442436250,1,1
2.442444750,1,0
2.442453500,1,1
2.442479500,1,0
2.442505500,1,1
2.442514250,1,0
2.442523000,1,1
2.442531500,1,0
2.442609500,1,1
2.442618250,1,0
2.442635750,1,1
2.442661750,1,0
2.442670250,1,1
2.442679000,1,0
2.442696250,1,1
2.444127500,1,0
2.444136000,1,1
2.444153500,1,0
2.444162250,1,1
2.444170750,1,0
2.444196750,1,1
2.444214250,1,0
2.444222750,1,1
2.444231500,1,0
2.444240250,1,1
2.444249000,1,0
2.444292250,1,1
2.444301000,1,0
2.444318250,1,1
2.444327000,1,0
2.444344250,1,1
2.444361750,1,0
2.444379000,1,1
2.444387750,1,0
2.444405000,1,1
2.444413750,1,0
2.444431000,1,1
2.444457000,1,0
2.444465750,1,1
2.444474500,1,0
2.444483000,1,1
2.444491750,1,0
2.444517750,1,1
2.444535000,1,0
2.444552500,1,1
2.446174250,1,0
2.446183000,1,1
2.446200250,1,0
2.446217500,1,1
2.446226250,1,0
2.446243500,1,1
2.446261000,1,0
2.446330250,1,1
2.446347750,1,0
2.446356250,1,1
2.446365000,1,0
2.446425750,1,1
2.446434500,1,0
2.446443000,1,1
2.446451750,1,0
2.446512500,1,1
2.446521250,1,0
2.446529750,1,1
2.446547250,1,0
2.446599250,1,1
2.446608000,1,0
2.446686000,1,1
2.446694750,1,0
2.446703250,1,1
2.446738000,1,0
2.446746750,1,1
2.465930000,1,0
2.465947250,1,1
2.465956000,1,0
2.465982000,1,1
2.465990750,1,0
2.465999250,1,1
2.466016750,1,0
2.466094750,1,1
2.466103250,1,0
2.466146750,1,1
2.466155500,1,0
2.466164000,1,1
2.466172750,1,0
2.466181500,1,1
2.466190000,1,0
2.466198750,1,1
2.466233500,1,0
2.466250750,1,1
2.466259500,1,0
2.466268000,1,1
2.466276750,1,0
2.466285500,1,1
2.466302750,1,0
2.466320250,1,1
2.466328750,1,0
2.466337500,1,1
2.466346250,1,0
2.466354750,1,1
2.466363500,1,0
2.466441500,1,1
2.466450250,1,0
2.466528250,1,1
2.466537000,1,0
2.466615000,1,1
2.466623750,1,0
2.466649750,1,1
2.466658500,1,0
2.466675750,1,1
2.466684500,1,0
2.466701750,1,1
2.466710500,1,0
2.466788500,1,1
2.466797250,1,0
2.466875250,1,1
2.466884000,1,0
2.466962000,1,1
2.466970750,1,0
2.466979250,1,1
2.466988000,1,0
2.466996750,1,1
2.467005250,1,0
2.467048750,1,1
2.467057250,1,0
2.467083250,1,1
2.467092000,1,0
2.467135500,1,1
2.467144000,1,0
2.467222000,1,1
2.467230750,1,0
2.467308750,1,1
2.467317500,1,0
2.467395500,1,1
2.467404250,1,0
2.467482250,1,1
2.467491000,1,0
2.467517000,1,1
2.467525750,1,0
